loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,residential_assets_value_clean,income_bin,loan_bin
25,0,not graduate,no,4900000,9800000,16,324,3800000,8700000,10000000,3300000,rejected,3800000,mid,mid
26,5,not graduate,no,3100000,9500000,20,514,7900000,3100000,6600000,2600000,rejected,7900000,low,low
27,4,graduate,no,8200000,28100000,12,696,11500000,10600000,25300000,7200000,approved,11500000,high,high
28,4,not graduate,yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,approved,4500000,low,low
29,5,not graduate,yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,rejected,2300000,high,high
30,3,not graduate,yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,approved,21800000,high,high
31,2,not graduate,no,9800000,25300000,12,313,20200000,5200000,25500000,9300000,rejected,20200000,high,high
32,2,graduate,no,5700000,12000000,6,363,3600000,7400000,21700000,4300000,rejected,3600000,mid,mid
33,1,not graduate,yes,800000,1600000,10,436,700000,200000,2200000,1000000,rejected,700000,low,low
34,5,not graduate,yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,approved,3800000,high,high
35,3,graduate,no,4900000,11900000,8,612,9700000,1200000,19000000,5800000,approved,9700000,mid,mid
36,2,graduate,yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,approved,2700000,low,low
37,3,not graduate,no,1600000,6200000,18,636,3400000,700000,5300000,1400000,approved,3400000,low,low
38,5,graduate,yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,rejected,6400000,high,high
39,5,graduate,no,3600000,7700000,16,830,7000000,1300000,10000000,2900000,approved,7000000,low,low
40,3,not graduate,yes,1500000,5100000,6,352,100000,200000,5600000,900000,rejected,100000,low,low
41,1,graduate,no,7800000,18100000,2,712,8600000,11200000,21700000,9000000,approved,8600000,high,mid
42,2,not graduate,no,9100000,24900000,16,822,22300000,12100000,31000000,5200000,approved,22300000,high,high
43,3,graduate,no,1400000,3400000,6,540,200000,1500000,3900000,800000,rejected,200000,low,low
44,2,graduate,yes,800000,2300000,12,342,2200000,1300000,1800000,800000,rejected,2200000,low,low
45,5,graduate,no,6500000,13400000,18,787,18200000,300000,16200000,5400000,approved,18200000,mid,mid
46,4,graduate,no,8000000,27800000,16,331,13000000,6300000,21400000,10900000,rejected,13000000,high,high
47,3,not graduate,yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,approved,2400000,mid,mid
48,1,graduate,yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,approved,5400000,mid,high
49,3,not graduate,no,5500000,20500000,12,634,800000,8600000,18500000,8200000,approved,800000,mid,high
50,1,not graduate,yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,approved,100000,high,high
51,4,graduate,no,7300000,25400000,16,502,500000,1800000,20500000,10500000,rejected,500000,high,high
52,2,graduate,no,8700000,24700000,10,435,6800000,3500000,21800000,11300000,rejected,6800000,high,high
53,5,not graduate,no,3800000,7600000,4,689,8700000,100000,9300000,3400000,approved,8700000,mid,low
54,1,not graduate,yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,approved,15400000,high,high
55,2,graduate,yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,approved,7400000,mid,high
56,5,not graduate,no,6700000,24500000,12,818,1200000,5600000,16300000,6200000,approved,1200000,mid,high
57,2,not graduate,no,4300000,10600000,18,431,2100000,1500000,9300000,5200000,rejected,2100000,mid,mid
58,5,graduate,yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,approved,19300000,high,high
59,1,graduate,no,7400000,18400000,20,421,18500000,9100000,17500000,4100000,rejected,18500000,high,mid
60,4,not graduate,yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,approved,6300000,mid,mid
61,2,not graduate,no,8500000,18900000,18,478,23800000,16300000,25900000,11400000,rejected,23800000,high,mid
62,3,not graduate,yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,approved,4700000,high,high
63,5,not graduate,yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,rejected,24400000,high,high
64,3,not graduate,yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,approved,1600000,low,low
65,4,graduate,yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,approved,7600000,mid,mid
66,1,graduate,no,4100000,10300000,12,364,9500000,6100000,14900000,2800000,rejected,9500000,mid,mid
67,3,not graduate,no,8300000,29100000,10,715,6100000,11900000,24100000,11900000,approved,6100000,high,high
68,0,not graduate,yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,rejected,200000,low,mid
69,4,graduate,no,5600000,12400000,4,777,5500000,3100000,11800000,5500000,approved,5500000,mid,mid
70,0,graduate,no,1900000,5000000,12,312,4000000,2800000,4900000,2400000,rejected,4000000,low,low
71,4,not graduate,yes,500000,1500000,20,340,100000,200000,1900000,600000,rejected,100000,low,low
72,5,graduate,yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,approved,2700000,mid,mid
73,5,not graduate,no,7000000,18300000,4,418,18400000,11700000,21500000,7600000,rejected,18400000,high,mid
74,3,not graduate,yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,approved,3900000,mid,mid
75,2,not graduate,no,2600000,8400000,6,494,6500000,3800000,5600000,2000000,rejected,6500000,low,low
76,2,not graduate,no,1900000,6500000,18,671,600000,2500000,4800000,1100000,approved,600000,low,low
77,4,graduate,no,5700000,14800000,16,697,14300000,7800000,12900000,6300000,approved,14300000,mid,mid
78,0,graduate,no,9000000,33500000,8,801,11600000,8900000,35400000,11100000,approved,11600000,high,high
79,2,not graduate,no,8500000,29400000,12,576,17600000,5600000,25200000,9000000,approved,17600000,high,high
80,0,not graduate,no,700000,1400000,14,639,1900000,700000,2400000,900000,approved,1900000,low,low
81,4,graduate,no,3500000,8900000,4,470,1300000,2200000,12300000,2000000,rejected,1300000,low,low
82,0,not graduate,no,8800000,31200000,4,826,2900000,500000,33300000,8600000,approved,2900000,high,high
83,2,not graduate,yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,rejected,25500000,high,high
84,3,graduate,no,3600000,8600000,20,613,9400000,300000,10300000,3300000,approved,9400000,low,low
85,3,not graduate,yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,approved,5300000,low,low
86,2,graduate,no,6800000,21200000,16,439,17100000,4700000,23300000,3600000,rejected,17100000,mid,high
87,5,not graduate,yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,rejected,1300000,low,low
88,1,not graduate,yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,rejected,20400000,high,high
89,4,graduate,yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,approved,5100000,low,low
90,2,not graduate,no,9800000,37600000,10,641,24100000,0,23400000,7600000,approved,24100000,high,high
91,4,graduate,no,5700000,21100000,18,489,500000,4300000,12500000,6000000,rejected,500000,mid,high
92,4,graduate,no,8800000,20700000,18,540,19200000,3200000,22400000,12700000,rejected,19200000,high,high
93,4,graduate,no,3800000,8900000,4,844,9100000,3500000,13100000,4700000,approved,9100000,mid,low
94,1,graduate,no,1700000,6400000,10,452,900000,1100000,5600000,2100000,rejected,900000,low,low
95,2,graduate,no,1000000,2000000,10,366,1200000,400000,3200000,1300000,rejected,1200000,low,low
96,5,graduate,no,300000,1100000,2,300,100000,500000,700000,400000,approved,100000,low,low
97,2,graduate,yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,rejected,1200000,mid,mid
98,2,not graduate,no,8700000,25000000,20,861,14700000,8500000,23200000,7300000,approved,14700000,high,high
99,4,graduate,no,9400000,29400000,12,562,25900000,15200000,36400000,7100000,approved,25900000,high,high
100,0,graduate,no,4400000,10800000,14,463,2400000,4800000,13800000,4700000,rejected,2400000,mid,mid
101,4,not graduate,no,400000,900000,12,478,700000,100000,1200000,100000,rejected,700000,low,low
102,2,not graduate,yes,300000,1100000,2,702,300000,200000,500000,200000,approved,300000,low,low
103,2,not graduate,yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,approved,11400000,mid,mid
104,4,graduate,no,1600000,4500000,12,633,700000,1700000,4100000,1900000,approved,700000,low,low
105,5,not graduate,yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,rejected,18500000,mid,high
106,3,not graduate,yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,approved,7800000,mid,mid
107,4,not graduate,yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,approved,600000,high,mid
108,0,graduate,no,2700000,10600000,6,591,1300000,2700000,9900000,1800000,approved,1300000,low,mid
109,1,graduate,yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,approved,19600000,high,high
110,2,graduate,no,3300000,6800000,14,317,3400000,300000,11700000,3600000,rejected,3400000,low,low
111,0,not graduate,no,300000,1100000,8,778,800000,200000,900000,100000,approved,800000,low,low
112,3,graduate,yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,rejected,5600000,high,mid
113,5,not graduate,no,7100000,19700000,8,502,7300000,5600000,25300000,9800000,rejected,7300000,high,high
114,5,not graduate,yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,approved,19500000,high,high
115,1,not graduate,no,8400000,23400000,14,437,15400000,5800000,33400000,8100000,rejected,15400000,high,high
116,0,not graduate,yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,approved,600000,low,mid
117,4,not graduate,yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,rejected,16100000,mid,high
118,0,not graduate,no,600000,1600000,6,647,1500000,600000,1500000,700000,approved,1500000,low,low
119,0,not graduate,no,7200000,15800000,12,379,12700000,12200000,21500000,3600000,rejected,12700000,high,mid
120,1,not graduate,yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,approved,2200000,high,high
121,5,graduate,no,900000,2300000,16,545,100000,200000,2700000,800000,rejected,100000,low,low
122,2,graduate,no,800000,3200000,8,317,300000,1000000,2000000,900000,rejected,300000,low,low
123,1,not graduate,no,8500000,32900000,10,570,5100000,6200000,20500000,5500000,approved,5100000,high,high
124,0,not graduate,yes,9000000,18700000,18,865,26800000,0,20900000,11300000,approved,26800000,high,mid
125,3,graduate,no,7000000,19500000,14,719,12200000,10300000,18200000,10200000,approved,12200000,high,high
126,3,graduate,no,200000,600000,16,821,400000,100000,500000,100000,approved,400000,low,low
127,4,not graduate,yes,400000,800000,10,859,900000,500000,800000,200000,approved,900000,low,low
128,3,not graduate,no,5100000,18200000,10,395,100000,8000000,15500000,6300000,rejected,100000,mid,mid
129,2,not graduate,yes,700000,2600000,12,429,1600000,1300000,2700000,800000,rejected,1600000,low,low
130,3,graduate,no,400000,1200000,12,861,200000,600000,1100000,200000,approved,200000,low,low
131,0,not graduate,yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,approved,15100000,high,high
132,5,graduate,no,8800000,22600000,10,357,7900000,8600000,18200000,4900000,rejected,7900000,high,high
133,3,not graduate,yes,1800000,3600000,18,465,600000,500000,5400000,2600000,rejected,600000,low,low
134,4,not graduate,yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,rejected,11700000,mid,mid
135,3,not graduate,no,1500000,5500000,16,717,2100000,800000,4400000,1300000,approved,2100000,low,low
136,3,graduate,no,1600000,5500000,12,425,600000,800000,5400000,900000,rejected,600000,low,low
137,2,not graduate,no,4600000,16700000,2,786,200000,5900000,13900000,6100000,approved,200000,mid,mid
138,5,not graduate,yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,rejected,4400000,low,low
139,3,not graduate,yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,approved,1000000,low,low
140,0,graduate,no,200000,700000,8,501,500000,200000,700000,100000,rejected,500000,low,low
141,2,not graduate,yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,approved,6600000,low,low
142,4,not graduate,no,3600000,7500000,6,894,1100000,6500000,7400000,2800000,approved,1100000,low,low
143,0,graduate,yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,approved,5500000,mid,mid
144,4,not graduate,no,6600000,17400000,20,506,2600000,10000000,25900000,7200000,rejected,2600000,mid,mid
145,2,graduate,yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,approved,9400000,high,high
146,5,not graduate,no,600000,1500000,14,543,300000,900000,2100000,300000,rejected,300000,low,low
147,3,graduate,yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,approved,2400000,low,low
148,3,graduate,no,4000000,11100000,12,572,9700000,100000,12500000,2400000,approved,9700000,mid,mid
149,0,not graduate,yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,approved,14600000,mid,mid
150,5,graduate,no,2000000,6200000,18,402,4000000,2100000,7200000,1100000,rejected,4000000,low,low
151,1,not graduate,yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,rejected,14300000,mid,high
152,5,graduate,yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,approved,13600000,high,high
153,1,graduate,yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,approved,15900000,mid,high
154,2,not graduate,no,1300000,4500000,6,415,0,900000,2900000,1200000,rejected,0,low,low
155,3,not graduate,no,9400000,35000000,16,548,18200000,4400000,36100000,4800000,rejected,18200000,high,high
156,5,not graduate,no,5000000,11200000,8,701,9100000,500000,14000000,4600000,approved,9100000,mid,mid
157,2,graduate,no,3000000,7700000,12,890,4700000,4300000,8400000,2100000,approved,4700000,low,low
158,5,not graduate,yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,rejected,5300000,high,high
159,5,graduate,yes,700000,1300000,20,704,1600000,0,2200000,600000,approved,1600000,low,low
160,3,graduate,yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,rejected,1500000,mid,mid
161,5,not graduate,no,3100000,9600000,2,761,5800000,1800000,10400000,4200000,approved,5800000,low,mid
162,4,not graduate,no,4500000,15100000,6,693,3700000,1500000,17800000,6000000,approved,3700000,mid,mid
163,3,not graduate,no,9700000,20600000,16,524,24200000,11100000,27400000,6100000,rejected,24200000,high,high
164,2,not graduate,yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,approved,4900000,low,low
165,2,graduate,yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,approved,22300000,high,high
166,0,not graduate,no,5700000,15900000,16,638,100000,9500000,16300000,4500000,approved,100000,mid,mid
167,4,not graduate,no,5800000,12800000,2,656,500000,5000000,16000000,2800000,approved,500000,mid,mid
168,1,graduate,no,1800000,6500000,6,540,2500000,3200000,5000000,1100000,rejected,2500000,low,low
169,4,not graduate,yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,rejected,1000000,high,high
170,0,not graduate,yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,approved,11700000,mid,mid
171,3,not graduate,yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,approved,4000000,mid,mid
172,0,not graduate,no,1900000,4100000,18,801,400000,800000,4800000,1200000,approved,400000,low,low
173,3,not graduate,yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,approved,7700000,low,low
174,2,not graduate,yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,rejected,21900000,high,high
175,4,not graduate,yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000,rejected,10800000,mid,mid
176,2,graduate,no,1800000,5300000,6,826,4500000,700000,6500000,1300000,approved,4500000,low,low
177,4,not graduate,no,9200000,27200000,12,873,4500000,1800000,33800000,11400000,approved,4500000,high,high
178,5,not graduate,yes,2400000,8600000,8,309,500000,600000,5700000,2800000,rejected,500000,low,low
179,4,not graduate,no,5600000,13300000,20,869,3300000,7500000,20000000,6500000,approved,3300000,mid,mid
180,5,graduate,no,3800000,13900000,12,534,4700000,2900000,8200000,2800000,rejected,4700000,mid,mid
181,3,not graduate,yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000,approved,9800000,mid,mid
182,0,graduate,yes,900000,2200000,16,566,100000,700000,2000000,600000,approved,100000,low,low
183,0,not graduate,no,2800000,9900000,8,742,4900000,1300000,6700000,1700000,approved,4900000,low,mid
184,2,not graduate,no,7500000,23100000,4,824,12100000,10900000,26300000,9500000,approved,12100000,high,high
185,4,graduate,no,1400000,3100000,14,575,3000000,2100000,4900000,1400000,approved,3000000,low,low
186,2,graduate,yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000,approved,1900000,mid,mid
187,1,not graduate,yes,1700000,5000000,10,888,2900000,900000,4100000,2200000,approved,2900000,low,low
188,3,graduate,yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000,approved,16800000,high,high
189,5,not graduate,yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000,approved,7100000,high,high
190,1,not graduate,no,7400000,19800000,18,458,12600000,6200000,27700000,4000000,rejected,12600000,high,high
191,1,not graduate,no,9000000,28200000,16,327,1700000,2300000,24000000,11200000,rejected,1700000,high,high
192,0,not graduate,no,3000000,6500000,2,612,8800000,3400000,6700000,1700000,approved,8800000,low,low
193,1,graduate,no,800000,2900000,8,682,2200000,1100000,2900000,700000,approved,2200000,low,low
194,2,graduate,no,4800000,13200000,2,583,13700000,5800000,9500000,5200000,approved,13700000,mid,mid
195,5,not graduate,no,6400000,18300000,8,697,10000000,3600000,22500000,3600000,approved,10000000,mid,mid
196,3,graduate,no,9200000,27100000,12,306,5800000,11500000,28000000,9600000,rejected,5800000,high,high
197,4,not graduate,yes,400000,1500000,2,669,-100000,600000,900000,500000,approved,2021266,low,low
198,2,not graduate,no,2800000,6000000,18,816,6300000,4200000,8000000,3400000,approved,6300000,low,low
199,4,not graduate,yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000,rejected,15200000,high,high
200,3,graduate,yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000,rejected,11400000,mid,mid
201,4,not graduate,yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000,rejected,22000000,high,high
202,2,not graduate,yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,rejected,200000,mid,low
203,2,graduate,no,500000,1500000,2,888,1500000,300000,1500000,600000,approved,1500000,low,low
204,2,graduate,yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,rejected,13000000,high,mid
205,4,not graduate,yes,9600000,30100000,12,870,300000,6700000,38200000,5600000,approved,300000,high,high
206,3,not graduate,no,2900000,6500000,18,827,8300000,600000,10400000,3200000,approved,8300000,low,low
207,2,graduate,no,9800000,20900000,12,768,3400000,10200000,38600000,13400000,approved,3400000,high,high
208,0,graduate,no,7100000,15400000,18,707,10300000,10800000,19600000,5800000,approved,10300000,high,mid
209,1,not graduate,yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000,rejected,11300000,high,high
210,3,graduate,no,1400000,3300000,2,652,100000,2100000,3500000,1900000,approved,100000,low,low
211,3,graduate,no,7800000,15900000,2,665,14400000,900000,27200000,5400000,approved,14400000,high,mid
212,5,not graduate,yes,1700000,6000000,18,420,500000,1600000,3700000,2300000,rejected,500000,low,low
213,2,not graduate,no,8500000,32700000,18,471,12600000,9400000,33900000,12500000,rejected,12600000,high,high
214,5,not graduate,no,1900000,7500000,20,715,5100000,2800000,6500000,2800000,approved,5100000,low,low
215,2,not graduate,yes,6700000,15200000,10,689,0,8200000,15000000,6800000,approved,0,mid,mid
216,3,graduate,yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000,approved,11100000,high,mid
217,2,graduate,no,2600000,7800000,4,819,3100000,4300000,5700000,1500000,approved,3100000,low,low
218,4,graduate,yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000,approved,16100000,high,high
219,1,not graduate,yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000,approved,15500000,mid,mid
220,0,not graduate,no,3200000,11300000,6,484,3500000,5500000,8500000,2100000,rejected,3500000,low,mid
221,4,not graduate,no,2900000,10400000,6,673,5100000,1700000,10600000,1700000,approved,5100000,low,mid
222,3,graduate,yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000,approved,13800000,high,high
223,4,not graduate,yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000,rejected,6400000,mid,mid
224,4,graduate,yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000,rejected,9000000,mid,mid
225,3,not graduate,yes,700000,1700000,8,733,1200000,800000,2400000,500000,approved,1200000,low,low
226,0,not graduate,no,5200000,15600000,20,434,14100000,5800000,18100000,5500000,rejected,14100000,mid,mid
227,3,not graduate,yes,5900000,20600000,10,777,1900000,4600000,21200000,6400000,approved,1900000,mid,high
228,4,graduate,no,7200000,19100000,4,774,9400000,7000000,17900000,3600000,approved,9400000,high,high
229,1,not graduate,yes,8700000,27000000,10,717,25500000,8600000,17500000,9100000,approved,25500000,high,high
230,3,not graduate,yes,1100000,3500000,12,503,3000000,400000,2200000,1200000,rejected,3000000,low,low
231,1,graduate,yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000,approved,3600000,mid,mid
232,2,graduate,no,9800000,32400000,2,543,24200000,17500000,25700000,7700000,approved,24200000,high,high
233,0,not graduate,yes,2700000,6800000,20,796,700000,4200000,7000000,1900000,approved,700000,low,low
234,3,not graduate,yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000,rejected,14800000,high,high
235,5,not graduate,yes,3300000,7800000,16,632,8500000,500000,7100000,4900000,approved,8500000,low,low
236,1,graduate,yes,6900000,23400000,4,481,18700000,1100000,23400000,10200000,approved,18700000,high,high
237,3,graduate,yes,900000,3500000,4,770,700000,0,2000000,600000,rejected,700000,low,low
238,3,graduate,yes,4100000,15500000,6,667,2800000,1600000,14700000,4000000,approved,2800000,mid,mid
239,3,not graduate,yes,4700000,17500000,8,585,1200000,3100000,9600000,4900000,approved,1200000,mid,mid
240,5,graduate,yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000,rejected,9200000,low,mid
241,2,graduate,no,9600000,22500000,18,851,7400000,16200000,24300000,12700000,approved,7400000,high,high
242,3,not graduate,yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000,rejected,20000000,high,mid
243,5,graduate,no,5700000,12900000,18,807,4100000,900000,18600000,5500000,approved,4100000,mid,mid
244,1,not graduate,yes,8200000,32400000,18,831,22800000,12300000,17700000,7800000,approved,22800000,high,high
245,2,not graduate,no,2100000,5100000,12,674,2200000,3200000,6400000,2400000,approved,2200000,low,low
246,1,not graduate,yes,8000000,28100000,18,725,1900000,12800000,23000000,7500000,approved,1900000,high,high
247,2,not graduate,no,8000000,29300000,4,600,16500000,13200000,29400000,6500000,approved,16500000,high,high
248,0,not graduate,yes,9400000,27000000,10,536,4400000,1700000,33800000,4800000,rejected,4400000,high,high
249,0,graduate,no,8400000,20600000,10,477,1500000,1500000,25000000,11900000,rejected,1500000,high,high
250,1,not graduate,yes,1900000,5000000,6,560,1000000,1900000,6300000,1400000,approved,1000000,low,low
251,0,not graduate,yes,4200000,16400000,20,539,9500000,2100000,11400000,3100000,rejected,9500000,mid,mid
252,5,graduate,no,2600000,9100000,8,852,3700000,700000,10300000,3300000,approved,3700000,low,low
253,3,not graduate,no,3700000,8500000,20,853,8300000,5700000,7500000,4900000,approved,8300000,mid,low
254,0,graduate,no,8800000,30900000,12,729,1700000,700000,25700000,11400000,approved,1700000,high,high
255,2,not graduate,no,2100000,4700000,2,546,6000000,3200000,5700000,1500000,rejected,6000000,low,low
256,3,graduate,yes,900000,2400000,10,489,800000,0,2800000,500000,rejected,800000,low,low
257,3,graduate,yes,9800000,35400000,6,869,14400000,16400000,22800000,10300000,approved,14400000,high,high
258,2,not graduate,no,8000000,20000000,2,502,4100000,2200000,31600000,9900000,rejected,4100000,high,high
259,0,graduate,no,9800000,38800000,8,652,23200000,19000000,29700000,5400000,approved,23200000,high,high
260,0,not graduate,yes,300000,1100000,8,789,400000,100000,800000,400000,approved,400000,low,low
261,4,not graduate,no,2700000,8100000,4,325,5000000,800000,9900000,3400000,approved,5000000,low,low
262,3,graduate,yes,7400000,19600000,2,716,4100000,8900000,29100000,4200000,approved,4100000,high,high
263,3,graduate,no,9200000,34300000,18,523,25600000,4000000,29100000,8800000,rejected,25600000,high,high
264,5,not graduate,no,9500000,22200000,20,352,24500000,0,30800000,7000000,rejected,24500000,high,high
265,5,graduate,yes,3800000,14400000,2,345,3300000,800000,13000000,4700000,approved,3300000,mid,mid
266,0,graduate,no,8300000,19400000,18,649,2500000,16100000,24300000,11300000,approved,2500000,high,high
267,2,graduate,yes,2800000,7400000,18,666,100000,2300000,6300000,3400000,approved,100000,low,low
268,0,graduate,no,8600000,20900000,10,813,11300000,11900000,26000000,4800000,approved,11300000,high,high
269,0,not graduate,no,5400000,16800000,10,599,5300000,7400000,14500000,7600000,approved,5300000,mid,mid
270,5,graduate,yes,4200000,9400000,6,678,4700000,5500000,9900000,5700000,approved,4700000,mid,low
271,5,not graduate,no,5200000,12200000,20,513,13400000,2000000,16800000,5400000,rejected,13400000,mid,mid
272,5,graduate,no,9400000,27900000,4,870,1100000,200000,29500000,10400000,approved,1100000,high,high
273,3,graduate,no,8800000,20400000,8,483,3200000,11400000,28200000,11800000,rejected,3200000,high,high
274,1,graduate,yes,5900000,16700000,16,308,5800000,8800000,19100000,5300000,rejected,5800000,mid,mid
275,3,graduate,yes,1700000,4900000,16,591,4700000,1000000,4300000,1400000,approved,4700000,low,low
